what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432902811557
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1432902815255
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432902817532
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902831432
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902831525
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902838155
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902840215
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902840402
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902844598
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902844770
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432902846564
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902849029
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902850167
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902850308
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902850308
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1432902851509
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902852570
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902853974
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1432902853974
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902865783
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902866001
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902872382
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902876157
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902876313
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902876469
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902904065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902904502
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902904752
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902908137
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1432902917326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902919260
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902920742
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902920851
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1432902920851
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902934205
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902959024
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1432902959056
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902972768
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902973907
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1432902973922
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1432902976871
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432902980147
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902989788
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902991036
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1432902991051
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1432902994202
